"","desokod","upplåtelseform","år","Antal"
"178","Knivsta (Knivsta centrala)","bostadsrätt",2024,939
"179","Knivsta (Knivsta centrala)","äganderätt",2024,193
"180","Knivsta (Knivsta centrala)","uppgift saknas",2024,0
"181","Knivsta (Knivsta södra)","hyresrätt",2024,415
"182","Knivsta (Knivsta södra)","bostadsrätt",2024,237
"183","Knivsta (Knivsta södra)","äganderätt",2024,242
"184","Knivsta (Knivsta södra)","uppgift saknas",2024,9
"185","Knivsta (Knivsta västra)","hyresrätt",2024,769
"186","Knivsta (Knivsta västra)","bostadsrätt",2024,501
"187","Knivsta (Knivsta västra)","äganderätt",2024,404
"188","Knivsta (Knivsta västra)","uppgift saknas",2024,9
"189","Knivsta (Knivsta östra)","hyresrätt",2024,26
"190","Knivsta (Knivsta östra)","bostadsrätt",2024,164
"191","Knivsta (Knivsta östra)","äganderätt",2024,492
"192","Knivsta (Knivsta östra)","uppgift saknas",2024,0
"193","Knivsta (Lagga-Långhundra)","hyresrätt",2024,49
"194","Knivsta (Lagga-Långhundra)","bostadsrätt",2024,0
"195","Knivsta (Lagga-Långhundra)","äganderätt",2024,1331
"196","Knivsta (Lagga-Långhundra)","uppgift saknas",2024,12
"197","Knivsta (Vassunda)","hyresrätt",2024,56
"198","Knivsta (Vassunda)","bostadsrätt",2024,0
"199","Knivsta (Vassunda)","äganderätt",2024,618
"200","Knivsta (Vassunda)","uppgift saknas",2024,2
"201","0331A0010","hyresrätt",2024,55
"202","0331A0010","bostadsrätt",2024,30
"203","0331A0010","äganderätt",2024,395
"204","0331A0010","uppgift saknas",2024,0
"205","0331A0020","hyresrätt",2024,89
"206","0331A0020","bostadsrätt",2024,14
"207","0331A0020","äganderätt",2024,731
"208","0331A0020","uppgift saknas",2024,0
"209","0331A0030","hyresrätt",2024,165
"210","0331A0030","bostadsrätt",2024,10
"211","0331A0030","äganderätt",2024,558
"212","0331A0030","uppgift saknas",2024,0
"213","0331A0040","hyresrätt",2024,5
"214","0331A0040","bostadsrätt",2024,39
"215","0331A0040","äganderätt",2024,356
"216","0331A0040","uppgift saknas",2024,0
"217","0331A0050","hyresrätt",2024,3
"218","0331A0050","bostadsrätt",2024,0
"219","0331A0050","äganderätt",2024,418
"220","0331A0050","uppgift saknas",2024,0
"221","0331B2010","hyresrätt",2024,389
"222","0331B2010","bostadsrätt",2024,63
"223","0331B2010","äganderätt",2024,549
"224","0331B2010","uppgift saknas",2024,0
"225","0331B3010","hyresrätt",2024,293
"226","0331B3010","bostadsrätt",2024,149
"227","0331B3010","äganderätt",2024,358
"228","0331B3010","uppgift saknas",2024,0
"229","0331B4010","hyresrätt",2024,301
"230","0331B4010","bostadsrätt",2024,20
"231","0331B4010","äganderätt",2024,392
"232","0331B4010","uppgift saknas",2024,0
"233","0331C1010","hyresrätt",2024,322
"234","0331C1010","bostadsrätt",2024,98
"235","0331C1010","äganderätt",2024,429
"236","0331C1010","uppgift saknas",2024,0
"237","0331C1020","hyresrätt",2024,209
"238","0331C1020","bostadsrätt",2024,157
"239","0331C1020","äganderätt",2024,324
"240","0331C1020","uppgift saknas",2024,0
"241","Heby (Heby omland)","hyresrätt",2024,89
"242","Heby (Heby omland)","bostadsrätt",2024,14
"243","Heby (Heby omland)","äganderätt",2024,731
"244","Heby (Heby omland)","uppgift saknas",2024,0
"245","Heby (Heby västra)","hyresrätt",2024,322
"246","Heby (Heby västra)","bostadsrätt",2024,98
"247","Heby (Heby västra)","äganderätt",2024,429
"248","Heby (Heby västra)","uppgift saknas",2024,0
"249","Heby (Heby östra)","hyresrätt",2024,209
"250","Heby (Heby östra)","bostadsrätt",2024,157
"251","Heby (Heby östra)","äganderätt",2024,324
"252","Heby (Heby östra)","uppgift saknas",2024,0
"253","Heby (Morgongåva tätort)","hyresrätt",2024,293
"254","Heby (Morgongåva tätort)","bostadsrätt",2024,149
"255","Heby (Morgongåva tätort)","äganderätt",2024,358
"256","Heby (Morgongåva tätort)","uppgift saknas",2024,0
"257","Heby (Nora-Harbo omland)","hyresrätt",2024,170
"258","Heby (Nora-Harbo omland)","bostadsrätt",2024,49
"259","Heby (Nora-Harbo omland)","äganderätt",2024,914
"260","Heby (Nora-Harbo omland)","uppgift saknas",2024,0
"261","Heby (Tärnsjö tätort)","hyresrätt",2024,301
"262","Heby (Tärnsjö tätort)","bostadsrätt",2024,20
"263","Heby (Tärnsjö tätort)","äganderätt",2024,392
"264","Heby (Tärnsjö tätort)","uppgift saknas",2024,0
"265","Heby (Vittinge omland)","hyresrätt",2024,55
"266","Heby (Vittinge omland)","bostadsrätt",2024,30
"267","Heby (Vittinge omland)","äganderätt",2024,395
"268","Heby (Vittinge omland)","uppgift saknas",2024,0
"269","Heby (Östervåla omland)","hyresrätt",2024,3
"270","Heby (Östervåla omland)","bostadsrätt",2024,0
"271","Heby (Östervåla omland)","äganderätt",2024,418
"272","Heby (Östervåla omland)","uppgift saknas",2024,0
"273","Heby (Östervåla tätort)","hyresrätt",2024,389
"274","Heby (Östervåla tätort)","bostadsrätt",2024,63
"275","Heby (Östervåla tätort)","äganderätt",2024,549
"276","Heby (Östervåla tätort)","uppgift saknas",2024,0
"277","0360A0010","hyresrätt",2024,39
"278","0360A0010","bostadsrätt",2024,0
"279","0360A0010","äganderätt",2024,396
"280","0360A0010","uppgift saknas",2024,0
"281","0360A0020","hyresrätt",2024,89
"282","0360A0020","bostadsrätt",2024,14
"283","0360A0020","äganderätt",2024,455
"284","0360A0020","uppgift saknas",2024,0
"285","0360A0030","hyresrätt",2024,166
"286","0360A0030","bostadsrätt",2024,39
"287","0360A0030","äganderätt",2024,423
"288","0360A0030","uppgift saknas",2024,0
"289","0360A0040","hyresrätt",2024,108
"290","0360A0040","bostadsrätt",2024,17
"291","0360A0040","äganderätt",2024,708
"292","0360A0040","uppgift saknas",2024,0
"293","0360A0050","hyresrätt",2024,200
"294","0360A0050","bostadsrätt",2024,55
"295","0360A0050","äganderätt",2024,590
"296","0360A0050","uppgift saknas",2024,2
"297","0360A0060","hyresrätt",2024,43
"298","0360A0060","bostadsrätt",2024,0
"299","0360A0060","äganderätt",2024,443
"300","0360A0060","uppgift saknas",2024,1
"301","0360A0070","hyresrätt",2024,50
"302","0360A0070","bostadsrätt",2024,0
"303","0360A0070","äganderätt",2024,449
"304","0360A0070","uppgift saknas",2024,2
"305","0360B2010","hyresrätt",2024,464
"306","0360B2010","bostadsrätt",2024,185
"307","0360B2010","äganderätt",2024,564
"308","0360B2010","uppgift saknas",2024,0
"309","0360B3010","hyresrätt",2024,469
"310","0360B3010","bostadsrätt",2024,48
"311","0360B3010","äganderätt",2024,356
"312","0360B3010","uppgift saknas",2024,0
"313","0360B4010","hyresrätt",2024,337
"314","0360B4010","bostadsrätt",2024,0
"315","0360B4010","äganderätt",2024,397
"316","0360B4010","uppgift saknas",2024,0
"317","0360C1010","hyresrätt",2024,1013
"318","0360C1010","bostadsrätt",2024,391
"319","0360C1010","äganderätt",2024,261
"320","0360C1010","uppgift saknas",2024,0
"321","0360C1020","hyresrätt",2024,436
"322","0360C1020","bostadsrätt",2024,235
"323","0360C1020","äganderätt",2024,422
