"region","ålder","år","Folkmängd"
"Älvkarleby","33 år","2006",102
"Älvkarleby","34 år","2006",119
"Älvkarleby","35 år","2006",102
"Älvkarleby","36 år","2006",114
"Älvkarleby","37 år","2006",128
"Älvkarleby","38 år","2006",116
"Älvkarleby","39 år","2006",134
"Älvkarleby","40 år","2006",156
"Älvkarleby","41 år","2006",142
"Älvkarleby","42 år","2006",128
"Älvkarleby","43 år","2006",148
"Älvkarleby","44 år","2006",134
"Älvkarleby","45 år","2006",116
"Älvkarleby","46 år","2006",113
"Älvkarleby","47 år","2006",138
"Älvkarleby","48 år","2006",125
"Älvkarleby","49 år","2006",121
"Älvkarleby","50 år","2006",134
"Älvkarleby","51 år","2006",136
"Älvkarleby","52 år","2006",129
"Älvkarleby","53 år","2006",122
"Älvkarleby","54 år","2006",134
"Älvkarleby","55 år","2006",124
"Älvkarleby","56 år","2006",118
"Älvkarleby","57 år","2006",133
"Älvkarleby","58 år","2006",149
"Älvkarleby","59 år","2006",143
"Älvkarleby","60 år","2006",160
"Älvkarleby","61 år","2006",129
"Älvkarleby","62 år","2006",148
"Älvkarleby","63 år","2006",117
"Älvkarleby","64 år","2006",130
"Älvkarleby","65 år","2006",110
"Älvkarleby","66 år","2006",93
"Älvkarleby","67 år","2006",89
"Älvkarleby","68 år","2006",85
"Älvkarleby","69 år","2006",93
"Älvkarleby","70 år","2006",77
"Älvkarleby","71 år","2006",72
"Älvkarleby","72 år","2006",85
"Älvkarleby","73 år","2006",91
"Älvkarleby","74 år","2006",51
"Älvkarleby","75 år","2006",73
"Älvkarleby","76 år","2006",65
"Älvkarleby","77 år","2006",70
"Älvkarleby","78 år","2006",68
"Älvkarleby","79 år","2006",61
"Älvkarleby","80 år","2006",62
"Älvkarleby","81 år","2006",81
"Älvkarleby","82 år","2006",64
"Älvkarleby","83 år","2006",61
"Älvkarleby","84 år","2006",52
"Älvkarleby","85 år","2006",65
"Älvkarleby","86 år","2006",46
"Älvkarleby","87 år","2006",25
"Älvkarleby","88 år","2006",25
"Älvkarleby","89 år","2006",25
"Älvkarleby","90 år","2006",12
"Älvkarleby","91 år","2006",11
"Älvkarleby","92 år","2006",12
"Älvkarleby","93 år","2006",5
"Älvkarleby","94 år","2006",7
"Älvkarleby","95 år","2006",10
"Älvkarleby","96 år","2006",6
"Älvkarleby","97 år","2006",4
"Älvkarleby","98 år","2006",0
"Älvkarleby","99 år","2006",0
"Älvkarleby","100+ år","2006",3
"Knivsta","20 år","2006",165
"Knivsta","21 år","2006",138
"Knivsta","22 år","2006",97
"Knivsta","23 år","2006",104
"Knivsta","24 år","2006",88
"Knivsta","25 år","2006",88
"Knivsta","26 år","2006",89
"Knivsta","27 år","2006",98
"Knivsta","28 år","2006",106
"Knivsta","29 år","2006",124
"Knivsta","30 år","2006",182
"Knivsta","31 år","2006",179
"Knivsta","32 år","2006",220
"Knivsta","33 år","2006",208
"Knivsta","34 år","2006",219
"Knivsta","35 år","2006",211
"Knivsta","36 år","2006",226
"Knivsta","37 år","2006",229
"Knivsta","38 år","2006",225
"Knivsta","39 år","2006",232
"Knivsta","40 år","2006",248
"Knivsta","41 år","2006",208
"Knivsta","42 år","2006",255
"Knivsta","43 år","2006",225
"Knivsta","44 år","2006",204
"Knivsta","45 år","2006",198
"Knivsta","46 år","2006",215
"Knivsta","47 år","2006",167
"Knivsta","48 år","2006",184
"Knivsta","49 år","2006",177
"Knivsta","50 år","2006",153
"Knivsta","51 år","2006",185
"Knivsta","52 år","2006",157
"Knivsta","53 år","2006",167
"Knivsta","54 år","2006",170
"Knivsta","55 år","2006",171
"Knivsta","56 år","2006",192
"Knivsta","57 år","2006",211
"Knivsta","58 år","2006",199
"Knivsta","59 år","2006",197
"Knivsta","60 år","2006",193
"Knivsta","61 år","2006",164
"Knivsta","62 år","2006",177
"Knivsta","63 år","2006",151
"Knivsta","64 år","2006",112
"Knivsta","65 år","2006",84
"Knivsta","66 år","2006",100
