"region","upplåtelseform","år","Antal"
"0330C1070","äganderätt","2024",355
"0330C1070","uppgift saknas","2024",0
"Knivsta (Alsike norra)","hyresrätt","2024",134
"Knivsta (Alsike norra)","bostadsrätt","2024",309
"Knivsta (Alsike norra)","äganderätt","2024",355
"Knivsta (Alsike norra)","uppgift saknas","2024",0
"Knivsta (Alsike östra)","hyresrätt","2024",123
"Knivsta (Alsike östra)","bostadsrätt","2024",246
"Knivsta (Alsike östra)","äganderätt","2024",585
"Knivsta (Alsike östra)","uppgift saknas","2024",0
"Knivsta (Knivsta centrala)","hyresrätt","2024",880
"Knivsta (Knivsta centrala)","bostadsrätt","2024",939
"Knivsta (Knivsta centrala)","äganderätt","2024",193
"Knivsta (Knivsta centrala)","uppgift saknas","2024",0
"Knivsta (Knivsta södra)","hyresrätt","2024",415
"Knivsta (Knivsta södra)","bostadsrätt","2024",237
"Knivsta (Knivsta södra)","äganderätt","2024",242
"Knivsta (Knivsta södra)","uppgift saknas","2024",9
"Knivsta (Knivsta västra)","hyresrätt","2024",769
"Knivsta (Knivsta västra)","bostadsrätt","2024",501
"Knivsta (Knivsta västra)","äganderätt","2024",404
"Knivsta (Knivsta västra)","uppgift saknas","2024",9
"Knivsta (Knivsta östra)","hyresrätt","2024",26
"Knivsta (Knivsta östra)","bostadsrätt","2024",164
"Knivsta (Knivsta östra)","äganderätt","2024",492
"Knivsta (Knivsta östra)","uppgift saknas","2024",0
"Knivsta (Lagga-Långhundra)","hyresrätt","2024",49
"Knivsta (Lagga-Långhundra)","bostadsrätt","2024",0
"Knivsta (Lagga-Långhundra)","äganderätt","2024",1331
"Knivsta (Lagga-Långhundra)","uppgift saknas","2024",12
"Knivsta (Vassunda)","hyresrätt","2024",56
"Knivsta (Vassunda)","bostadsrätt","2024",0
"Knivsta (Vassunda)","äganderätt","2024",618
"Knivsta (Vassunda)","uppgift saknas","2024",2
"0331A0010","hyresrätt","2024",55
"0331A0010","bostadsrätt","2024",30
"0331A0010","äganderätt","2024",395
"0331A0010","uppgift saknas","2024",0
"0331A0020","hyresrätt","2024",89
"0331A0020","bostadsrätt","2024",14
"0331A0020","äganderätt","2024",731
"0331A0020","uppgift saknas","2024",0
"0331A0030","hyresrätt","2024",165
"0331A0030","bostadsrätt","2024",10
"0331A0030","äganderätt","2024",558
"0331A0030","uppgift saknas","2024",0
"0331A0040","hyresrätt","2024",5
"0331A0040","bostadsrätt","2024",39
"0331A0040","äganderätt","2024",356
"0331A0040","uppgift saknas","2024",0
"0331A0050","hyresrätt","2024",3
"0331A0050","bostadsrätt","2024",0
